"","column","row","cor","p","p.adjust","sig","sig.adjust","rsquared","group","sanger_mean_auc"
"194","bortezomib..GDSC2.1191.","STAD_EBV",-0.347078533430565,0.133795495603324,0.966896824386368,"","",0.120463508368312,"sanger_uni",0.844522416330922
"195","bortezomib..GDSC2.1191.","STAD_GS",0.262809965929268,0.262941813593615,0.977566209499005,"","",0.0690690781917433,"sanger_uni",0.844522416330922
"196","bortezomib..GDSC2.1191.","STAD_MSI",0.15197539694096,0.52241686958681,0.977566209499005,"","",0.0230965212753622,"sanger_uni",0.844522416330922
"197","bortezomib..GDSC2.1191.","MSS_TP53neg",-0.0796554785419945,0.73851261398395,0.977566209499005,"","",0.00634499526175415,"sanger_uni",0.844522416330922
"198","bortezomib..GDSC2.1191.","MSS_TP53pos",0.306790108137428,0.188288086435514,0.966896824386368,"","",0.0941201704509746,"sanger_uni",0.844522416330922
"199","bortezomib..GDSC2.1191.","MSI",-0.0266809435754367,0.911095296272544,0.97882539507497,"","",0.000711872750075636,"sanger_uni",0.844522416330922
"200","bortezomib..GDSC2.1191.","EMT",-0.338466648843629,0.144373697060641,0.966896824386368,"","",0.114559672379437,"sanger_uni",0.844522416330922
"201","buparlisib..GDSC2.1873.","High_cal",-0.0889829338282391,0.709102417186144,0.977566209499005,"","",0.00791796251268078,"sanger_uni",0.788367275017084
"202","buparlisib..GDSC2.1873.","Low_cal",0.0889829338282468,0.709102417186119,0.977566209499005,"","",0.00791796251268215,"sanger_uni",0.788367275017084
"203","buparlisib..GDSC2.1873.","STAD_CIN",0.159304357089643,0.502308291113458,0.977566209499005,"","",0.0253778781877444,"sanger_uni",0.788367275017084
"204","buparlisib..GDSC2.1873.","STAD_EBV",-0.214551681609162,0.36368560456727,0.977566209499005,"","",0.0460324240813191,"sanger_uni",0.788367275017084
"205","buparlisib..GDSC2.1873.","STAD_GS",0.193137730400071,0.414587732199538,0.977566209499005,"","",0.0373021829040903,"sanger_uni",0.788367275017084
"206","buparlisib..GDSC2.1873.","STAD_MSI",-0.213120346017656,0.366971654159162,0.977566209499005,"","",0.0454202818866853,"sanger_uni",0.788367275017084
"207","buparlisib..GDSC2.1873.","MSS_TP53neg",0.0508004322277929,0.831565083799598,0.977566209499005,"","",0.00258068391453058,"sanger_uni",0.788367275017084
"208","buparlisib..GDSC2.1873.","MSS_TP53pos",0.229803162499295,0.329726312944294,0.977566209499005,"","",0.0528094934946773,"sanger_uni",0.788367275017084
"209","buparlisib..GDSC2.1873.","MSI",-0.0619442764604693,0.79529992564821,0.977566209499005,"","",0.00383709338621105,"sanger_uni",0.788367275017084
"210","buparlisib..GDSC2.1873.","EMT",-0.360875946731078,0.1180091350847,0.966896824386368,"","",0.130231448929052,"sanger_uni",0.788367275017084
"211","BVD.523..GDSC2.1908.","High_cal",0.286424758857997,0.220836945147599,0.968209448495925,"","",0.0820391424868618,"sanger_uni",0.858377477757553
"212","BVD.523..GDSC2.1908.","Low_cal",-0.286424758858033,0.220836945147539,0.968209448495925,"","",0.0820391424868823,"sanger_uni",0.858377477757553
"213","BVD.523..GDSC2.1908.","STAD_CIN",0.0332324363539143,0.889380476744717,0.97882539507497,"","",0.00110439482601697,"sanger_uni",0.858377477757553
"214","BVD.523..GDSC2.1908.","STAD_EBV",-0.614924572183759,0.00390874281807729,0.821900412067329,"**","",0.378132229475378,"sanger_uni",0.858377477757553
"215","BVD.523..GDSC2.1908.","STAD_GS",-0.0661911807207893,0.781580857267036,0.977566209499005,"","",0.00438127240521219,"sanger_uni",0.858377477757553
"216","BVD.523..GDSC2.1908.","STAD_MSI",0.243947516596366,0.299975988173582,0.977566209499005,"","",0.0595103908535344,"sanger_uni",0.858377477757553
"217","BVD.523..GDSC2.1908.","MSS_TP53neg",0.342754501566329,0.139036055708707,0.966896824386368,"","",0.117480648343983,"sanger_uni",0.858377477757553
"218","BVD.523..GDSC2.1908.","MSS_TP53pos",-0.128593765322156,0.588982495186244,0.977566209499005,"","",0.0165363564797298,"sanger_uni",0.858377477757553
"219","BVD.523..GDSC2.1908.","MSI",-0.292671929956777,0.210485245166732,0.966896824386368,"","",0.0856568585846249,"sanger_uni",0.858377477757553
"220","BVD.523..GDSC2.1908.","EMT",0.0274071746251344,0.908684945819495,0.97882539507497,"","",0.000751153220932611,"sanger_uni",0.858377477757553
"221","BVD.523..GDSC2.2047.","High_cal",0.178269840069204,0.465275929236821,0.977566209499005,"","",0.0317801358782996,"sanger_uni",0.925827073946371
"222","BVD.523..GDSC2.2047.","Low_cal",-0.178269840069204,0.465275929236823,0.977566209499005,"","",0.0317801358782994,"sanger_uni",0.925827073946371
"223","BVD.523..GDSC2.2047.","STAD_CIN",-0.156547661780699,0.522162978268095,0.977566209499005,"","",0.0245071704090041,"sanger_uni",0.925827073946371
"224","BVD.523..GDSC2.2047.","STAD_EBV",-0.210089844341009,0.387981072043548,0.977566209499005,"","",0.0441377426952296,"sanger_uni",0.925827073946371
"225","BVD.523..GDSC2.2047.","STAD_GS",-0.261745652305466,0.279039480019374,0.977566209499005,"","",0.0685107865008139,"sanger_uni",0.925827073946371
"226","BVD.523..GDSC2.2047.","STAD_MSI",0.415387170702963,0.0769551766295096,0.966896824386368,".","",0.172546501584613,"sanger_uni",0.925827073946371
"227","BVD.523..GDSC2.2047.","MSS_TP53neg",-0.069803756412919,0.776443112144282,0.977566209499005,"","",0.00487256440935413,"sanger_uni",0.925827073946371
"228","BVD.523..GDSC2.2047.","MSS_TP53pos",0.0547077138199133,0.823969731584061,0.977566209499005,"","",0.00299293395140153,"sanger_uni",0.925827073946371
"229","BVD.523..GDSC2.2047.","MSI",-0.0647690555575719,0.792218073640774,0.977566209499005,"","",0.00419503055781984,"sanger_uni",0.925827073946371
"230","BVD.523..GDSC2.2047.","EMT",0.0671294277502589,0.784812425375069,0.977566209499005,"","",0.00450636007007723,"sanger_uni",0.925827073946371
"231","camptothecin..GDSC2.1003.","High_cal",-0.157863942979828,0.506230589986561,0.977566209499005,"","",0.0249210244931384,"sanger_uni",0.883727893926939
"232","camptothecin..GDSC2.1003.","Low_cal",0.157863942979827,0.506230589986563,0.977566209499005,"","",0.0249210244931381,"sanger_uni",0.883727893926939
"233","camptothecin..GDSC2.1003.","STAD_CIN",0.0963654190748828,0.686100303421851,0.977566209499005,"","",0.00928629399347778,"sanger_uni",0.883727893926939
"234","camptothecin..GDSC2.1003.","STAD_EBV",-0.152426329908775,0.521168828694259,0.977566209499005,"","",0.0232337860494586,"sanger_uni",0.883727893926939
"235","camptothecin..GDSC2.1003.","STAD_GS",0.0273141356253498,0.90899369845421,0.97882539507497,"","",0.000746062004960001,"sanger_uni",0.883727893926939
"236","camptothecin..GDSC2.1003.","STAD_MSI",-0.0696020633814052,0.770607045427903,0.977566209499005,"","",0.00484444722694915,"sanger_uni",0.883727893926939
"237","camptothecin..GDSC2.1003.","MSS_TP53neg",0.0236635153840688,0.92111787956837,0.981393574812318,"","",0.00055996196033206,"sanger_uni",0.883727893926939
"238","camptothecin..GDSC2.1003.","MSS_TP53pos",0.0300310333185931,0.899982942939705,0.97882539507497,"","",0.000901862962182451,"sanger_uni",0.883727893926939
"239","camptothecin..GDSC2.1003.","MSI",-0.303195315039313,0.193783530550134,0.966896824386368,"","",0.0919273990617884,"sanger_uni",0.883727893926939
"240","camptothecin..GDSC2.1003.","EMT",0.224637842365521,0.341010451027915,0.977566209499005,"","",0.0504621602226367,"sanger_uni",0.883727893926939
"241","cediranib..GDSC2.1922.","High_cal",-0.0959370266618162,0.687428062384194,0.977566209499005,"","",0.00920391308471003,"sanger_uni",0.872367900236237
"242","cediranib..GDSC2.1922.","Low_cal",0.0959370266617967,0.687428062384254,0.977566209499005,"","",0.00920391308470628,"sanger_uni",0.872367900236237
"243","cediranib..GDSC2.1922.","STAD_CIN",-0.254673377884547,0.278545942361601,0.977566209499005,"","",0.0648585294031251,"sanger_uni",0.872367900236237
"244","cediranib..GDSC2.1922.","STAD_EBV",0.0852034808415759,0.720974270684786,0.977566209499005,"","",0.00725963314752079,"sanger_uni",0.872367900236237
"245","cediranib..GDSC2.1922.","STAD_GS",0.215647073347057,0.361182213738332,0.977566209499005,"","",0.0465036602431511,"sanger_uni",0.872367900236237
"246","cediranib..GDSC2.1922.","STAD_MSI",0.149784555628681,0.52850032644462,0.977566209499005,"","",0.0224354131048815,"sanger_uni",0.872367900236237
"247","cediranib..GDSC2.1922.","MSS_TP53neg",-0.481527786799734,0.0315794235409226,0.966896824386368,"*","",0.23186900946025,"sanger_uni",0.872367900236237
"248","cediranib..GDSC2.1922.","MSS_TP53pos",0.179794309097291,0.448148839424049,0.977566209499005,"","",0.0323259935837723,"sanger_uni",0.872367900236237
"249","cediranib..GDSC2.1922.","MSI",0.306258034790798,0.189094781748062,0.966896824386368,"","",0.0937939838739218,"sanger_uni",0.872367900236237
"250","cediranib..GDSC2.1922.","EMT",0.0676314371316575,0.776942152370608,0.977566209499005,"","",0.00457401128849335,"sanger_uni",0.872367900236237
